AGNO,RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,EJEMPLO
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,11471380,2,200404,15,"5,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,11633278,2,200503,14,"5,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,11809715,1,200403,15,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,12057601,1,200304,16,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,16458288,2,200202,17,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,17530929,1,200407,14,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,18550561,2,200409,14,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,20250305,1,200402,15,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,20474516,1,200307,15,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,20544898,1,200409,14,"5,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,22092959,2,200312,15,"5,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,22597116,2,200310,15,"5,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,23563970,2,200409,14,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,23632974,1,200206,17,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,2882867,1,200403,15,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,4586417,2,200503,14,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,6599767,2,200308,15,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,6873365,1,200312,15,"5,2"
